t_ms,x,y
2367,1040.22,657.34
2372,1040.22,657.34
2377,1040.22,657.34
2382,1040.22,657.34
2387,1040.22,657.34
2392,1040.22,657.34
2397,1040.22,657.34
2402,1040.22,657.34
2407,1040.22,657.34
2411,1040.22,657.34
2416,1040.22,657.34
2420,1040.22,657.34
2425,1040.22,657.34
2429,1040.22,657.34
2434,1040.22,657.34
2439,1040.22,657.34
2443,1040.22,657.34
2448,1040.22,657.34
2453,1040.22,657.34
2458,1040.22,657.34
2463,1040.22,657.34
2468,1040.22,657.34
2473,1040.22,657.34
2477,1040.22,657.34
2482,1040.22,657.34
2487,1040.22,657.34
2492,1040.22,657.34
2497,1040.22,657.34
2502,1040.22,657.34
2507,1040.22,657.34
2512,1040.22,657.34
2516,1040.22,657.34
2521,1040.22,657.34
2526,1040.22,657.34
2531,1040.22,657.34
2536,1040.22,657.34
2541,1040.22,657.34
2545,1040.22,657.34
2550,1040.22,657.34
2555,1040.22,657.34
2560,1040.22,657.34
2564,1040.22,657.34
2568,1040.22,657.34
2573,1040.22,657.34
2578,1040.22,657.34
2583,1040.22,657.34
2587,1040.22,657.34
2592,1040.22,657.34
2596,1040.22,657.34
2601,1040.22,657.34
2606,1040.22,657.34
2611,1040.22,657.34
2616,1040.22,657.34
2621,1040.22,657.34
2626,1040.22,657.34
2631,1040.22,657.34
2636,1040.22,657.34
2641,1040.22,657.34
2645,1040.22,657.34
2650,1040.22,657.34
2655,1040.22,657.34
2659,1040.22,657.34
2664,1040.22,657.34
2669,1040.22,657.34
2674,1040.22,657.34
2679,1040.22,657.34
2684,1040.22,657.34
2688,1040.22,657.34
2692,1040.22,657.34
2697,1040.22,657.34
2702,1040.22,657.34
2707,1040.22,657.34
2712,1040.22,657.34
2716,1040.22,657.34
2721,1040.22,657.34
2726,1040.22,657.34
2730,1040.22,657.34
2735,1040.22,657.34
2740,1040.22,657.34
2745,1040.22,657.34
2750,1040.22,657.34
2755,1040.22,657.34
2760,1040.22,657.34
2765,1040.22,657.34
2769,1040.22,657.34
2773,1040.22,657.34
2778,1040.22,657.34
2782,1040.22,657.34
2787,1040.22,657.34
2792,1040.22,657.34
2796,1040.22,657.34
2801,1040.22,657.34
2805,1040.22,657.34
2810,1040.22,657.34
2815,1040.22,657.34
2820,1040.22,657.34
2824,1040.22,657.34
2829,1040.22,657.34
2834,1040.22,657.34
2838,1040.22,657.34
2843,1040.22,657.34
2847,1040.22,657.34
2852,1040.22,657.34
2857,1040.22,657.34
2862,1040.22,657.34
2867,1040.45,657.34
2872,1040.45,657.34
2877,1040.45,657.34
2882,1040.45,657.34
2887,1040.45,657.34
2892,1040.45,657.34
2897,1040.45,657.34
2902,1040.45,657.34
2906,1040.45,657.34
2911,1040.45,657.34
2916,1040.45,657.34
2921,1040.45,657.34
2926,1040.45,657.34
2931,1040.45,657.34
2936,1040.45,657.34
2941,1040.45,657.34
2946,1040.45,657.34
2951,1040.45,657.34
2955,1040.45,657.34
2960,1040.45,657.34
2964,1040.45,657.34
2968,1040.45,657.34
2973,1040.45,657.34
2978,1040.67,657.34
2982,1040.67,657.34
2987,1040.67,657.34
2992,1040.67,657.34
2996,1040.90,657.34
3001,1040.90,657.34
3006,1040.90,657.34
3011,1040.90,657.34
3016,1041.12,657.11
3021,1041.12,657.11
3026,1041.12,657.11
3031,1041.12,657.11
3036,1041.12,657.11
